Counter [-], Mech Angle value [-]
0,3296
1,3119
2,3345
3,3689
4,4224
5,4609
6,4635
7,5356
8,5775
9,6070
10,6407
11,6825
12,7326
13,7646
14,7964
15,8501
16,8815
17,9038
18,9061
19,10046
20,10357
21,10706
22,11302
23,11503
24,11611
25,12421
26,12793
27,13149
28,13526
29,14228
30,14232
31,14630
32,15084
33,15520
34,15872
35,15947
36,15957
37,663
38,954
39,1445
40,1886
41,2140
42,2214
43,3115
44,3348
45,3687
46,4221
47,4608
48,4662
49,5357
50,5775
51,6073
52,6406
53,6849
54,7323
55,7648
56,7965
57,8503
58,8821
59,9041
60,9087
61,10044
62,10357
63,10702
64,11302
65,11518
66,11748
67,12421
68,12797
69,13148
70,13527
71,14005
72,14278
73,14626
74,15081
75,15519
76,15867
77,15919
78,16001
79,662
80,955
81,1444
82,1885
83,2146
84,2254
85,3116
86,3349
87,3688
88,4225
89,4604
90,4674
91,5358
92,5775
93,6071
94,6407
95,6851
96,7317
97,7648
98,7963
99,8501
100,8820
101,9072
102,9136
103,10046
104,10356
105,10695
106,11308
107,11515
108,11753
109,12423
110,12801
111,13146
112,13524
113,14105
114,14279
115,14626
116,15080
117,15521
118,15870
119,16042
